ACCIDENT_YEAR,MONTH,LATITUDE,LONGITUDE,NATIONAL_PARK
2017,6,36.76612,-118.17343,Death_Valley
2017,6,37.43916,-117.94441,Death_Valley
2017,6,36.58074,-116.93209,Death_Valley
2017,7,37.36131,-118.43636,Death_Valley
2017,7,36.59392,-118.05771,Death_Valley
2017,7,36.34141,-118.02126,Death_Valley
2017,7,36.02138,-117.93939,Death_Valley
2017,7,36.10916,-117.97071,Death_Valley
2017,7,36.32164,-118.02697,Death_Valley
2017,7,37.34222,-118.47985,Death_Valley
2017,7,35.823,-116.32306,Death_Valley
2017,8,36.38295,-117.8046,Death_Valley
2017,8,36.31777,-118.02709,Death_Valley
2017,9,37.39037,-118.39544,Death_Valley
2017,9,37.37576,-118.41929,Death_Valley
2017,9,36.25247,-117.99187,Death_Valley
2017,10,37.38012,-118.47523,Death_Valley
2017,10,37.3758,-118.41387,Death_Valley
2017,10,36.96714,-118.23847,Death_Valley
2017,10,36.31164,-116.53377,Death_Valley
2017,10,36.34784,-117.33783,Death_Valley
2017,10,37.31333,-118.38491,Death_Valley
2017,10,36.93206,-118.24074,Death_Valley
2017,11,36.69068,-118.11229,Death_Valley
2017,12,36.30468,-116.41519,Death_Valley
2017,12,37.37591,-118.41575,Death_Valley
2017,12,36.34762,-118.02237,Death_Valley
2017,12,36.26697,-116.4346,Death_Valley
2017,12,36.16479,-117.9772,Death_Valley
2017,12,36.3689,-116.65951,Death_Valley
2017,12,36.3689,-116.65951,Death_Valley
2017,12,36.60415,-118.06263,Death_Valley
2017,12,36.27097,-118.00069,Death_Valley
2017,12,36.422,-117.26593,Death_Valley
2017,12,36.80288,-118.19976,Death_Valley
2018,2,37.37567138671875,-118.43211364746094,Death_Valley
2018,3,36.46358871459961,-117.23618316650392,Death_Valley
2018,3,36.601131439208984,-118.06104278564452,Death_Valley
2018,4,36.51166915893555,-118.03412628173828,Death_Valley
2018,4,36.80815887451172,-118.20320892333984,Death_Valley
2018,4,36.60723876953125,-118.06410217285156,Death_Valley
2018,4,36.60515975952149,-118.06320190429688,Death_Valley
2018,5,36.326290130615234,-116.42276763916016,Death_Valley
2018,5,36.283390045166016,-118.0068588256836,Death_Valley
2018,5,36.33958053588867,-117.46743774414062,Death_Valley
2018,5,37.37586975097656,-118.43203735351562,Death_Valley
2018,6,37.188011169433594,-118.30419158935548,Death_Valley
2018,6,36.58406829833984,-118.05767059326172,Death_Valley
2018,6,36.3149299621582,-116.54078674316406,Death_Valley
2018,6,35.899269104003906,-116.25849151611328,Death_Valley
2018,7,36.51483154296875,-117.2236328125,Death_Valley
2018,7,35.874088287353516,-117.88828277587892,Death_Valley
2018,7,37.36140823364258,-118.42060089111328,Death_Valley
2018,8,36.392601013183594,-116.42243194580078,Death_Valley
2018,8,36.350318908691406,-116.63317108154295,Death_Valley
2018,8,35.979270935058594,-117.92381286621094,Death_Valley
2018,8,36.91312026977539,-118.24166107177734,Death_Valley
2018,9,36.633419036865234,-118.07730865478516,Death_Valley
2018,9,36.28219985961914,-118.00608825683594,Death_Valley
2018,9,36.85704040527344,-118.23358154296876,Death_Valley
2018,9,36.702171325683594,-118.1230697631836,Death_Valley
2018,9,36.095218658447266,-117.96482849121094,Death_Valley
2018,9,36.35149002075195,-116.63730621337892,Death_Valley
2018,10,36.40951919555664,-116.79454040527344,Death_Valley
2018,10,36.034671783447266,-117.94367218017578,Death_Valley
2018,10,36.84788131713867,-118.23119354248048,Death_Valley
2018,10,36.86466979980469,-118.23580169677734,Death_Valley
2018,10,37.37575912475586,-118.42980194091795,Death_Valley
2018,11,36.34822845458984,-116.62554931640624,Death_Valley
2018,11,36.8361701965332,-118.22859954833984,Death_Valley
2018,12,37.36125183105469,-118.44869995117188,Death_Valley
2018,12,37.181610107421875,-118.29847717285156,Death_Valley
2019,1,36.60123062133789,-118.06130981445312,Death_Valley
2019,1,36.660301208496094,-118.09149169921876,Death_Valley
2019,1,37.375919342041016,-118.41587829589844,Death_Valley
2019,1,36.61283874511719,-118.06591796875,Death_Valley
2019,2,36.267288208007805,-116.43441772460938,Death_Valley
2019,2,36.28266906738281,-118.00634765625,Death_Valley
2019,2,36.31568908691406,-117.67855072021484,Death_Valley
2019,2,37.26570892333984,-118.1565170288086,Death_Valley
2019,2,36.83668899536133,-118.22868347167967,Death_Valley
2019,3,35.99922180175781,-117.93318176269533,Death_Valley
2019,3,37.37575149536133,-118.40892028808594,Death_Valley
2019,3,37.39181900024414,-118.50701141357422,Death_Valley
2019,3,36.39353942871094,-118.02462005615234,Death_Valley
2019,3,37.41501998901367,-117.9652862548828,Death_Valley
2019,4,37.31489944458008,-118.10230255126952,Death_Valley
2019,4,35.945159912109375,-116.26986694335938,Death_Valley
2019,5,37.038909912109375,-118.23172760009766,Death_Valley
2019,5,36.86886978149414,-118.23684692382812,Death_Valley
2019,5,36.33795928955078,-118.0205078125,Death_Valley
2019,5,36.167381286621094,-117.97786712646484,Death_Valley
2019,6,36.94081115722656,-118.24056243896484,Death_Valley
2019,6,35.93367004394531,-116.26856994628906,Death_Valley
2019,6,35.967498779296875,-117.91919708251952,Death_Valley
2019,6,36.31446838378906,-118.02696990966795,Death_Valley
2019,7,37.15998840332031,-118.28941345214844,Death_Valley
2019,7,36.28351974487305,-118.00721740722656,Death_Valley
2019,7,37.34178924560547,-118.48394012451172,Death_Valley
2019,7,36.83684158325195,-118.22852325439452,Death_Valley
2019,7,37.173439025878906,-118.29032135009766,Death_Valley
2019,7,37.17988967895508,-118.2963409423828,Death_Valley
2019,7,37.37588119506836,-118.43105316162108,Death_Valley
2019,7,36.25532150268555,-117.9932098388672,Death_Valley
2019,7,37.33221054077149,-118.39502716064452,Death_Valley
2019,8,37.361351013183594,-118.42752075195312,Death_Valley
2019,8,35.89448165893555,-117.89739990234376,Death_Valley
2019,8,36.87282180786133,-118.23735809326172,Death_Valley
2019,9,37.21747970581055,-118.23058319091795,Death_Valley
2019,9,35.970890045166016,-117.92015075683594,Death_Valley
2019,9,35.89445877075195,-117.8979263305664,Death_Valley
2019,9,36.41925811767578,-117.27114105224608,Death_Valley
2019,9,35.80963897705078,-117.87306213378906,Death_Valley
2019,9,36.35139846801758,-117.53556060791016,Death_Valley
2019,10,37.173099517822266,-118.2902603149414,Death_Valley
2019,10,37.23643112182618,-118.3497314453125,Death_Valley
2019,10,37.36127853393555,-118.41706848144533,Death_Valley
2019,10,37.145160675048835,-118.28018951416016,Death_Valley
2019,10,36.712188720703125,-118.13382720947266,Death_Valley
2019,11,35.9940299987793,-116.27359008789062,Death_Valley
2019,11,36.08879852294922,-117.96086120605467,Death_Valley
2019,11,35.79838180541992,-117.87255859375,Death_Valley
2019,11,37.167049407958984,-118.28964233398438,Death_Valley
2019,11,36.14344024658203,-117.9741668701172,Death_Valley
2019,11,36.42618179321289,-117.82160186767578,Death_Valley
2019,11,36.470458984375,-116.86701202392578,Death_Valley
2019,12,36.61391830444336,-118.06633758544922,Death_Valley
2019,12,36.32289123535156,-116.5583724975586,Death_Valley
2020,1,37.34252166748047,-118.479248046875,Death_Valley
2020,1,37.3613395690918,-118.43163299560548,Death_Valley
2020,1,37.37548828125,-118.39624786376952,Death_Valley
2020,1,37.18706130981445,-118.25054931640624,Death_Valley
2020,2,36.26599884033203,-116.43448638916016,Death_Valley
2020,2,36.045860290527344,-117.9472427368164,Death_Valley
2020,3,35.935081481933594,-116.26885223388672,Death_Valley
2020,3,36.419960021972656,-117.26970672607422,Death_Valley
2020,3,37.37548828125,-118.39624786376952,Death_Valley
2020,3,37.36042022705078,-118.39575958251952,Death_Valley
2020,4,37.28520965576172,-118.56211090087892,Death_Valley
2020,4,37.055999755859375,-118.23470306396484,Death_Valley
2020,4,36.611610412597656,-118.0656280517578,Death_Valley
2020,5,35.821590423583984,-116.3237762451172,Death_Valley
2020,5,37.452171325683594,-117.919921875,Death_Valley
2020,6,36.45309829711914,-117.24122619628906,Death_Valley
2020,6,36.24966812133789,-117.99049377441406,Death_Valley
2020,6,37.144161224365234,-118.27948760986328,Death_Valley
2020,6,36.36547088623047,-118.02375793457033,Death_Valley
2020,6,36.562591552734375,-118.05126953125,Death_Valley
2020,6,36.42242813110352,-117.26583099365234,Death_Valley
2020,7,36.60115814208984,-118.06120300292967,Death_Valley
2020,7,36.6055793762207,-118.06340026855467,Death_Valley
2020,7,37.42055892944336,-118.55561065673828,Death_Valley
2020,7,37.25331115722656,-118.16188049316406,Death_Valley
2020,7,35.868621826171875,-116.2946319580078,Death_Valley
2020,7,37.41944122314453,-118.55558776855467,Death_Valley
2020,7,37.31502914428711,-118.5184326171875,Death_Valley
2020,8,36.60831832885742,-118.06482696533205,Death_Valley
2020,8,37.371559143066406,-118.39486694335938,Death_Valley
2020,8,37.448638916015625,-118.349609375,Death_Valley
2020,8,36.29676818847656,-118.01918029785156,Death_Valley
2020,8,36.045841217041016,-117.94751739501952,Death_Valley
2020,8,37.02817153930664,-118.2311782836914,Death_Valley
2020,9,36.03369140625,-117.9433135986328,Death_Valley
2020,9,36.352840423583984,-118.0234603881836,Death_Valley
2020,9,36.40187072753906,-117.80925750732422,Death_Valley
2020,9,36.3696403503418,-117.28629302978516,Death_Valley
2020,9,36.26274108886719,-117.99669647216795,Death_Valley
2020,10,36.02273178100586,-117.94081878662108,Death_Valley
2020,10,36.33390045166016,-118.02158355712892,Death_Valley
2020,10,36.27267837524414,-118.00164031982422,Death_Valley
2020,10,36.35335922241211,-116.64259338378906,Death_Valley
2020,10,36.045799255371094,-117.94721221923828,Death_Valley
2020,10,37.216739654541016,-118.23175048828124,Death_Valley
2020,10,36.34516906738281,-117.34661865234376,Death_Valley
2020,11,37.39997100830078,-118.35238647460938,Death_Valley
2021,1,37.375999450683594,-118.46186065673828,Death_Valley
2021,2,36.06890106201172,-117.95491027832033,Death_Valley
2021,2,37.36376953125,-118.3954620361328,Death_Valley
2021,3,37.36137008666992,-118.41246032714844,Death_Valley
2021,3,37.228641510009766,-118.3446807861328,Death_Valley
2021,4,37.37593078613281,-118.42617797851562,Death_Valley
2021,5,36.1633186340332,-117.9770965576172,Death_Valley
2021,5,37.44292068481445,-118.57228088378906,Death_Valley
2021,5,36.045799255371094,-117.94722747802734,Death_Valley
2021,5,37.17893981933594,-118.29544067382812,Death_Valley
2021,5,37.3614501953125,-118.43108367919922,Death_Valley
2021,6,37.375770568847656,-118.43533325195312,Death_Valley
2021,6,36.348331451416016,-117.33715057373048,Death_Valley
2021,6,35.981929779052734,-117.92565155029295,Death_Valley
2021,6,35.95964813232422,-116.26747894287108,Death_Valley
2021,6,37.375778198242195,-118.42668151855467,Death_Valley
2021,6,37.44871139526367,-117.93128204345705,Death_Valley
2021,6,36.181011199951165,-117.97802734375,Death_Valley
2021,6,37.0920295715332,-118.24844360351562,Death_Valley
2021,6,37.375850677490234,-118.41381072998048,Death_Valley
2021,6,36.578948974609375,-118.05745697021484,Death_Valley
2021,6,36.60490036010742,-118.0630111694336,Death_Valley
2021,6,37.34230041503906,-118.39498901367188,Death_Valley
2021,6,36.661968231201165,-118.09467315673828,Death_Valley
2021,7,35.79840850830078,-117.87261199951172,Death_Valley
2021,7,36.04582977294922,-117.9472198486328,Death_Valley
2021,7,36.3484001159668,-117.33702850341795,Death_Valley
2021,8,36.81201171875,-118.20575714111328,Death_Valley
2021,8,35.909019470214844,-116.26515197753906,Death_Valley
2021,8,37.3756103515625,-118.42330169677734,Death_Valley
2021,8,37.343021392822266,-118.39510345458984,Death_Valley
2021,8,37.058448791503906,-118.23689270019533,Death_Valley
2021,8,35.958160400390625,-116.26737213134766,Death_Valley
2021,9,36.17076873779297,-117.97811126708984,Death_Valley
2021,9,36.04582977294922,-117.9472198486328,Death_Valley
2021,9,36.41661834716797,-118.0286102294922,Death_Valley
2021,10,37.37590026855469,-118.41172027587892,Death_Valley
2021,10,36.344539642333984,-117.34577178955078,Death_Valley
2021,10,36.59527969360352,-117.1601333618164,Death_Valley
2021,10,37.37588882446289,-118.41358947753906,Death_Valley
2021,10,37.36117172241211,-118.44925689697266,Death_Valley
2021,10,36.33884811401367,-117.43173217773438,Death_Valley
2021,11,36.419921875,-117.26941680908205,Death_Valley
2021,11,37.37580108642578,-118.42288970947266,Death_Valley
2021,11,36.22850036621094,-117.9802703857422,Death_Valley
2021,11,36.28178024291992,-118.00575256347656,Death_Valley
2021,11,36.282188415527344,-118.00611877441406,Death_Valley
2021,11,36.24420928955078,-117.98780822753906,Death_Valley
2021,11,36.36854934692382,-118.02378082275392,Death_Valley
2021,11,36.367210388183594,-116.65733337402344,Death_Valley
2021,12,36.604949951171875,-118.06308746337892,Death_Valley
2021,12,36.367279052734375,-116.65746307373048,Death_Valley
2021,12,36.57032012939453,-116.91239166259766,Death_Valley
