National Park,Year,Month,Footfall
Joshua_Tree,2019,11,304515
Joshua_Tree,2019,12,269100
Joshua_Tree,2020,1,299299
Joshua_Tree,2020,2,227417
Joshua_Tree,2020,3,0
Joshua_Tree,2020,4,90214
Joshua_Tree,2020,5,184887
Joshua_Tree,2020,6,147621
Joshua_Tree,2020,7,135055
Joshua_Tree,2020,8,168833
Joshua_Tree,2020,9,254821
Joshua_Tree,2020,10,361624
Joshua_Tree,2020,11,269699
Joshua_Tree,2020,12,230895
Joshua_Tree,2021,1,286782
Joshua_Tree,2021,2,376426
Joshua_Tree,2021,3,385119
Joshua_Tree,2021,4,286640
Joshua_Tree,2021,5,181733
Joshua_Tree,2021,6,126028
Joshua_Tree,2021,7,123633
Joshua_Tree,2021,8,163858
Joshua_Tree,2021,9,213842
Joshua_Tree,2021,10,336053
Joshua_Tree,2021,11,364733
Joshua_Tree,2021,12,278196
Joshua_Tree,2022,1,303884
Joshua_Tree,2022,2,433385
Joshua_Tree,2022,3,359981
Joshua_Tree,2022,4,229479
Joshua_Tree,2022,5,159794
Joshua_Tree,2022,6,149646
Joshua_Tree,2022,7,135653
Joshua_Tree,2022,8,151104
Joshua_Tree,2022,9,223441
Joshua_Tree,2022,10,318127
Joshua_Tree,2022,11,326931
Joshua_Tree,2022,12,279077
Joshua_Tree,2023,1,305051
Joshua_Tree,2023,2,435844
Joshua_Tree,2023,3,392004
Joshua_Tree,2023,4,264966
Joshua_Tree,2023,5,213531
Joshua_Tree,2023,6,144974
Joshua_Tree,2023,7,156791
Joshua_Tree,2023,8,190107
Joshua_Tree,2023,9,234557
Joshua_Tree,2023,10,314832
Joshua_Tree,2023,11,343242
Joshua_Tree,2023,12,252543
Joshua_Tree,2024,1,284586
Joshua_Tree,2024,2,402805
Joshua_Tree,2024,3,345016
Joshua_Tree,2024,4,260733
Joshua_Tree,2024,5,172242
Joshua_Tree,2024,6,124231
Joshua_Tree,2024,7,143581
Joshua_Tree,2024,8,157973
Joshua_Tree,2024,9,212871
Joshua_Tree,2024,10,302727
Joshua_Tree,2024,11,343270
Joshua_Tree,2024,12,279077
Kings_Canyon,2015,1,20246
Kings_Canyon,2015,2,30110
Kings_Canyon,2015,3,59096
Kings_Canyon,2015,4,75272
Kings_Canyon,2015,5,102400
Kings_Canyon,2015,6,75050
Kings_Canyon,2015,7,40512
Kings_Canyon,2015,8,39242
Kings_Canyon,2015,9,13447
Kings_Canyon,2015,10,10021
Kings_Canyon,2015,11,19522
Kings_Canyon,2015,12,15752
Kings_Canyon,2016,1,18537
Kings_Canyon,2016,2,29134
Kings_Canyon,2016,3,63541
Kings_Canyon,2016,4,88688
Kings_Canyon,2016,5,125408
Kings_Canyon,2016,6,94761
Kings_Canyon,2016,7,85250
Kings_Canyon,2016,8,54727
Kings_Canyon,2016,9,27310
Kings_Canyon,2016,10,15487
Kings_Canyon,2016,11,16889
Kings_Canyon,2016,12,12639
Kings_Canyon,2017,1,22479
Kings_Canyon,2017,2,38758
Kings_Canyon,2017,3,78156
Kings_Canyon,2017,4,106303
Kings_Canyon,2017,5,140127
Kings_Canyon,2017,6,106308
Kings_Canyon,2017,7,87775
Kings_Canyon,2017,8,56019
Kings_Canyon,2017,9,31200
Kings_Canyon,2017,10,24605
Kings_Canyon,2017,11,20705
Kings_Canyon,2017,12,16367
Kings_Canyon,2018,1,21133
Kings_Canyon,2018,2,40021
Kings_Canyon,2018,3,77077
Kings_Canyon,2018,4,97527
Kings_Canyon,2018,5,128039
Kings_Canyon,2018,6,118892
Kings_Canyon,2018,7,89581
Kings_Canyon,2018,8,56791
Kings_Canyon,2018,9,31335
Kings_Canyon,2018,10,30478
Kings_Canyon,2018,11,20342
Kings_Canyon,2018,12,10143
Kings_Canyon,2019,1,23173
Kings_Canyon,2019,2,42840
Kings_Canyon,2019,3,59291
Kings_Canyon,2019,4,95703
Kings_Canyon,2019,5,106851
Kings_Canyon,2019,6,117309
Kings_Canyon,2019,7,84066
Kings_Canyon,2019,8,58293
Kings_Canyon,2019,9,27431
Kings_Canyon,2019,10,15929
Kings_Canyon,2019,11,21082
Kings_Canyon,2019,12,18993
Kings_Canyon,2020,1,7246
Kings_Canyon,2020,2,0
Kings_Canyon,2020,3,0
Kings_Canyon,2020,4,63533
Kings_Canyon,2020,5,104836
Kings_Canyon,2020,6,97845
Kings_Canyon,2020,7,44519
Kings_Canyon,2020,8,41999
Kings_Canyon,2020,9,22692
Kings_Canyon,2020,10,9454
Kings_Canyon,2020,11,28896
Kings_Canyon,2020,12,22404
Kings_Canyon,2021,1,19570
Kings_Canyon,2021,2,38411
Kings_Canyon,2021,3,83853
Kings_Canyon,2021,4,107246
Kings_Canyon,2021,5,122215
Kings_Canyon,2021,6,81830
Kings_Canyon,2021,7,26658
Kings_Canyon,2021,8,11967
Kings_Canyon,2021,9,29019
Kings_Canyon,2021,10,14825
Kings_Canyon,2021,11,22979
Kings_Canyon,2021,12,15602
Kings_Canyon,2022,1,20894
Kings_Canyon,2022,2,37909
Kings_Canyon,2022,3,81377
Kings_Canyon,2022,4,98379
Kings_Canyon,2022,5,125177
Kings_Canyon,2022,6,92689
Kings_Canyon,2022,7,84864
Kings_Canyon,2022,8,55851
Kings_Canyon,2022,9,19955
Kings_Canyon,2022,10,12557
Kings_Canyon,2022,11,14780
Kings_Canyon,2022,12,15978
Kings_Canyon,2023,1,1838
