Category: Travel

Week,Pinnacles National Park: (United States)
2021-12-26,75
2022-01-02,82
2022-01-09,100
2022-01-16,88
2022-01-23,73
2022-01-30,71
2022-02-06,91
2022-02-13,94
2022-02-20,83
2022-02-27,69
2022-03-06,74
2022-03-13,86
2022-03-20,78
2022-03-27,81
2022-04-03,73
2022-04-10,70
2022-04-17,80
2022-04-24,63
2022-05-01,67
2022-05-08,60
2022-05-15,64
2022-05-22,72
2022-05-29,65
2022-06-05,48
2022-06-12,57
2022-06-19,64
2022-06-26,60
2022-07-03,57
2022-07-10,52
2022-07-17,60
2022-07-24,53
2022-07-31,50
2022-08-07,47
2022-08-14,46
2022-08-21,45
2022-08-28,47
2022-09-04,42
2022-09-11,42
2022-09-18,46
2022-09-25,51
2022-10-02,50
2022-10-09,40
2022-10-16,39
2022-10-23,37
2022-10-30,40
2022-11-06,48
2022-11-13,44
2022-11-20,56
2022-11-27,34
2022-12-04,29
2022-12-11,36
2022-12-18,40
2022-12-25,61
