Category: Travel

Week,Yosemite National Park: (United States)
2017-12-31,45
2018-01-07,42
2018-01-14,52
2018-01-21,43
2018-01-28,40
2018-02-04,45
2018-02-11,43
2018-02-18,47
2018-02-25,48
2018-03-04,50
2018-03-11,52
2018-03-18,47
2018-03-25,55
2018-04-01,60
2018-04-08,58
2018-04-15,62
2018-04-22,52
2018-04-29,51
2018-05-06,59
2018-05-13,64
2018-05-20,68
2018-05-27,66
2018-06-03,72
2018-06-10,64
2018-06-17,66
2018-06-24,65
2018-07-01,69
2018-07-08,60
2018-07-15,89
2018-07-22,100
2018-07-29,75
2018-08-05,81
2018-08-12,55
2018-08-19,50
2018-08-26,56
2018-09-02,45
2018-09-09,42
2018-09-16,40
2018-09-23,44
2018-09-30,39
2018-10-07,43
2018-10-14,39
2018-10-21,55
2018-10-28,58
2018-11-04,39
2018-11-11,40
2018-11-18,37
2018-11-25,35
2018-12-02,37
2018-12-09,36
2018-12-16,39
2018-12-23,62
2018-12-30,61
