Category: Travel

Week,Yosemite National Park: (United States)
2023-01-01,48
2023-01-08,36
2023-01-15,35
2023-01-22,31
2023-01-29,34
2023-02-05,33
2023-02-12,35
2023-02-19,100
2023-02-26,92
2023-03-05,44
2023-03-12,42
2023-03-19,39
2023-03-26,38
2023-04-02,36
2023-04-09,37
2023-04-16,41
2023-04-23,56
2023-04-30,61
2023-05-07,48
2023-05-14,67
2023-05-21,69
2023-05-28,69
2023-06-04,71
2023-06-11,86
2023-06-18,81
2023-06-25,84
2023-07-02,93
2023-07-09,71
2023-07-16,64
2023-07-23,62
2023-07-30,57
2023-08-06,57
2023-08-13,54
2023-08-20,49
2023-08-27,50
2023-09-03,50
2023-09-10,46
2023-09-17,48
2023-09-24,45
2023-10-01,39
2023-10-08,38
2023-10-15,35
2023-10-22,36
2023-10-29,33
2023-11-05,39
2023-11-12,37
2023-11-19,36
2023-11-26,32
2023-12-03,27
2023-12-10,27
2023-12-17,35
2023-12-24,46
2023-12-31,46
