Category: Travel

Week,Joshua Tree National Park: (United States)
2023-01-01,77
2023-01-08,73
2023-01-15,74
2023-01-22,68
2023-01-29,72
2023-02-05,72
2023-02-12,74
2023-02-19,85
2023-02-26,81
2023-03-05,79
2023-03-12,80
2023-03-19,81
2023-03-26,84
2023-04-02,88
2023-04-09,76
2023-04-16,60
2023-04-23,59
2023-04-30,52
2023-05-07,56
2023-05-14,62
2023-05-21,70
2023-05-28,63
2023-06-04,60
2023-06-11,63
2023-06-18,56
2023-06-25,53
2023-07-02,54
2023-07-09,56
2023-07-16,51
2023-07-23,47
2023-07-30,78
2023-08-06,76
2023-08-13,64
2023-08-20,53
2023-08-27,41
2023-09-03,45
2023-09-10,43
2023-09-17,54
2023-09-24,54
2023-10-01,58
2023-10-08,58
2023-10-15,52
2023-10-22,52
2023-10-29,55
2023-11-05,63
2023-11-12,57
2023-11-19,68
2023-11-26,55
2023-12-03,55
2023-12-10,58
2023-12-17,100
2023-12-24,88
2023-12-31,79
