Category: Travel

Week,Yosemite National Park: (United States)
2015-12-27,69
2016-01-03,57
2016-01-10,53
2016-01-17,52
2016-01-24,47
2016-01-31,46
2016-02-07,52
2016-02-14,66
2016-02-21,61
2016-02-28,65
2016-03-06,65
2016-03-13,65
2016-03-20,76
2016-03-27,71
2016-04-03,68
2016-04-10,72
2016-04-17,85
2016-04-24,85
2016-05-01,79
2016-05-08,85
2016-05-15,97
2016-05-22,98
2016-05-29,92
2016-06-05,97
2016-06-12,95
2016-06-19,100
2016-06-26,89
2016-07-03,95
2016-07-10,80
2016-07-17,88
2016-07-24,77
2016-07-31,77
2016-08-07,69
2016-08-14,60
2016-08-21,83
2016-08-28,72
2016-09-04,75
2016-09-11,53
2016-09-18,58
2016-09-25,55
2016-10-02,53
2016-10-09,55
2016-10-16,54
2016-10-23,59
2016-10-30,50
2016-11-06,43
2016-11-13,46
2016-11-20,45
2016-11-27,41
2016-12-04,37
2016-12-11,44
2016-12-18,46
2016-12-25,58
