Category: Travel

Week,Joshua Tree National Park: (United States)
2021-12-26,96
2022-01-02,84
2022-01-09,83
2022-01-16,80
2022-01-23,80
2022-01-30,76
2022-02-06,81
2022-02-13,86
2022-02-20,90
2022-02-27,82
2022-03-06,80
2022-03-13,90
2022-03-20,89
2022-03-27,82
2022-04-03,75
2022-04-10,78
2022-04-17,70
2022-04-24,59
2022-05-01,57
2022-05-08,64
2022-05-15,57
2022-05-22,68
2022-05-29,68
2022-06-05,57
2022-06-12,56
2022-06-19,57
2022-06-26,54
2022-07-03,55
2022-07-10,61
2022-07-17,54
2022-07-24,68
2022-07-31,57
2022-08-07,71
2022-08-14,53
2022-08-21,52
2022-08-28,47
2022-09-04,50
2022-09-11,51
2022-09-18,53
2022-09-25,51
2022-10-02,56
2022-10-09,59
2022-10-16,58
2022-10-23,55
2022-10-30,57
2022-11-06,62
2022-11-13,67
2022-11-20,70
2022-11-27,52
2022-12-04,53
2022-12-11,56
2022-12-18,72
2022-12-25,100
