Category: Travel

Week,Death Valley National Park: (United States)
2017-12-31,79
2018-01-07,73
2018-01-14,77
2018-01-21,69
2018-01-28,72
2018-02-04,63
2018-02-11,78
2018-02-18,55
2018-02-25,24
2018-03-04,33
2018-03-11,31
2018-03-18,31
2018-03-25,38
2018-04-01,34
2018-04-08,32
2018-04-15,29
2018-04-22,29
2018-04-29,27
2018-05-06,32
2018-05-13,30
2018-05-20,35
2018-05-27,28
2018-06-03,28
2018-06-10,28
2018-06-17,31
2018-06-24,28
2018-07-01,26
2018-07-08,26
2018-07-15,30
2018-07-22,34
2018-07-29,32
2018-08-05,29
2018-08-12,27
2018-08-19,22
2018-08-26,30
2018-09-02,43
2018-09-09,31
2018-09-16,56
2018-09-23,52
2018-09-30,56
2018-10-07,63
2018-10-14,61
2018-10-21,59
2018-10-28,61
2018-11-04,65
2018-11-11,72
2018-11-18,80
2018-11-25,61
2018-12-02,60
2018-12-09,64
2018-12-16,82
2018-12-23,100
2018-12-30,53
