Category: Travel

Week,Yosemite National Park: (United States)
2014-12-28,82
2015-01-04,70
2015-01-11,100
2015-01-18,75
2015-01-25,76
2015-02-01,66
2015-02-08,78
2015-02-15,75
2015-02-22,77
2015-03-01,63
2015-03-08,64
2015-03-15,58
2015-03-22,63
2015-03-29,63
2015-04-05,62
2015-04-12,59
2015-04-19,63
2015-04-26,63
2015-05-03,65
2015-05-10,67
2015-05-17,87
2015-05-24,66
2015-05-31,64
2015-06-07,73
2015-06-14,72
2015-06-21,79
2015-06-28,83
2015-07-05,87
2015-07-12,76
2015-07-19,75
2015-07-26,71
2015-08-02,70
2015-08-09,74
2015-08-16,76
2015-08-23,55
2015-08-30,59
2015-09-06,61
2015-09-13,55
2015-09-20,53
2015-09-27,57
2015-10-04,49
2015-10-11,46
2015-10-18,44
2015-10-25,42
2015-11-01,47
2015-11-08,37
2015-11-15,40
2015-11-22,42
2015-11-29,36
2015-12-06,41
2015-12-13,44
2015-12-20,54
2015-12-27,67
