Category: Travel

Week,Death Valley National Park: (United States)
2014-12-28,77
2015-01-04,58
2015-01-11,55
2015-01-18,62
2015-01-25,63
2015-02-01,58
2015-02-08,73
2015-02-15,70
2015-02-22,66
2015-03-01,66
2015-03-08,67
2015-03-15,62
2015-03-22,59
2015-03-29,62
2015-04-05,56
2015-04-12,49
2015-04-19,51
2015-04-26,46
2015-05-03,58
2015-05-10,53
2015-05-17,68
2015-05-24,52
2015-05-31,56
2015-06-07,52
2015-06-14,50
2015-06-21,44
2015-06-28,45
2015-07-05,41
2015-07-12,54
2015-07-19,44
2015-07-26,45
2015-08-02,47
2015-08-09,43
2015-08-16,38
2015-08-23,34
2015-08-30,41
2015-09-06,45
2015-09-13,34
2015-09-20,52
2015-09-27,46
2015-10-04,49
2015-10-11,63
2015-10-18,63
2015-10-25,72
2015-11-01,58
2015-11-08,62
2015-11-15,62
2015-11-22,70
2015-11-29,57
2015-12-06,50
2015-12-13,65
2015-12-20,100
2015-12-27,90
