Category: Travel

Week,Yosemite National Park: (United States)
2021-12-26,54
2022-01-02,48
2022-01-09,49
2022-01-16,45
2022-01-23,50
2022-01-30,46
2022-02-06,54
2022-02-13,60
2022-02-20,63
2022-02-27,55
2022-03-06,55
2022-03-13,61
2022-03-20,67
2022-03-27,59
2022-04-03,60
2022-04-10,65
2022-04-17,70
2022-04-24,59
2022-05-01,59
2022-05-08,66
2022-05-15,71
2022-05-22,72
2022-05-29,70
2022-06-05,67
2022-06-12,94
2022-06-19,78
2022-06-26,70
2022-07-03,81
2022-07-10,100
2022-07-17,75
2022-07-24,86
2022-07-31,55
2022-08-07,55
2022-08-14,51
2022-08-21,51
2022-08-28,58
2022-09-04,60
2022-09-11,48
2022-09-18,46
2022-09-25,47
2022-10-02,46
2022-10-09,44
2022-10-16,42
2022-10-23,41
2022-10-30,38
2022-11-06,36
2022-11-13,39
2022-11-20,37
2022-11-27,31
2022-12-04,31
2022-12-11,36
2022-12-18,38
2022-12-25,70
